release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500
Before joining CNCF,1,1,1,2,2,2,3,3,4,6,16,44,149
Since joining CNCF,1,2,3,3,5,5,7,9,9,13,24,41,114
start - v1.0.0,1,1,1,2,2,3,3,5,5,7,20,57,139
v1.0.0 - v1.1.0,1,1,1,1,1,2,3,4,4,9,25,69,149
v1.1.0 - v1.2.0,1,1,1,1,1,2,4,4,4,6,20,46,145
v1.2.0 - v1.3.0,1,1,2,3,4,4,5,6,7,7,23,53,132
v1.3.0 - v1.4.0,1,2,2,2,3,3,3,4,5,9,16,40,122
v1.4.0 - v1.5.0,1,2,3,3,5,5,6,7,8,9,18,41,139
v1.5.0 - v1.6.0,1,2,2,3,6,7,7,7,8,14,22,48,164
v1.6.0 - v1.7.0,1,2,2,3,5,6,7,9,10,14,29,52,155
v1.7.0 - v1.8.0,1,1,2,2,4,7,8,11,13,19,31,49,151
v1.8.0 - v1.9.0,1,1,1,3,8,9,11,12,14,18,26,44,132
v1.9.0 - v1.10.0,1,2,3,5,6,10,11,13,16,21,31,43,112
v1.10.0 - now,1,2,3,5,8,9,12,12,14,19,34,52,97
2014-06-01,1,1,1,2,4,6,7,9,10,18,18,18,18
2014-07-01,1,1,2,2,2,3,5,6,8,11,20,20,20
2014-08-01,1,1,2,2,2,2,2,3,4,12,24,24,24
2014-09-01,1,1,1,2,2,4,5,6,8,11,24,25,25
2014-10-01,1,1,1,1,2,3,4,5,7,13,27,27,27
2014-11-01,1,1,1,1,2,3,3,4,6,12,32,37,37
2014-12-01,1,1,1,2,2,3,5,6,7,14,31,36,36
2015-01-01,1,1,1,1,2,2,3,4,5,9,28,37,37
2015-02-01,1,1,1,2,3,3,3,4,5,8,27,41,41
2015-03-01,1,1,1,1,1,3,4,4,5,7,28,48,48
2015-04-01,1,1,1,1,2,3,3,3,4,9,25,51,55
2015-05-01,1,1,1,1,2,3,4,5,5,9,26,62,67
2015-06-01,1,1,1,1,2,3,4,4,5,9,26,61,67
2015-07-01,1,1,1,1,1,2,2,3,4,9,21,60,81
2015-08-01,1,1,1,1,2,2,3,3,5,10,29,64,104
2015-09-01,1,1,1,2,2,3,4,5,5,8,23,62,93
2015-10-01,1,2,2,2,2,2,3,4,5,8,19,57,76
2015-11-01,1,1,1,1,2,2,5,5,6,8,22,53,93
2015-12-01,1,1,1,1,2,2,3,3,4,6,24,55,82
2016-01-01,1,1,1,1,1,2,3,5,5,9,29,55,91
2016-02-01,1,1,1,2,2,2,3,3,4,10,19,56,96
2016-03-01,1,2,2,3,3,4,4,6,6,11,27,60,121
2016-04-01,1,2,2,2,2,2,3,3,3,6,26,58,121
2016-05-01,1,2,2,2,3,5,5,5,5,7,24,55,144
2016-06-01,1,2,2,3,3,5,5,6,6,9,21,50,128
2016-07-01,1,2,2,2,3,4,4,5,6,9,21,45,119
2016-08-01,1,2,2,3,3,3,4,4,5,10,17,37,119
2016-09-01,1,2,2,2,2,4,4,4,5,8,18,44,114
2016-10-01,1,2,3,3,4,5,7,7,8,9,19,45,123
2016-11-01,1,1,2,3,5,5,5,6,8,12,16,46,132
2016-12-01,1,2,2,4,6,6,6,6,6,11,21,44,149
2017-01-01,1,2,2,3,5,8,8,8,8,11,21,52,152
2017-02-01,1,2,2,3,6,8,9,11,12,15,25,54,150
2017-03-01,1,2,3,4,5,8,11,11,13,14,26,56,149
2017-04-01,1,1,2,3,6,9,10,12,12,16,27,56,143
2017-05-01,1,1,1,2,4,6,9,10,12,19,30,57,154
2017-06-01,1,1,2,3,3,5,7,9,9,11,27,53,148
2017-07-01,1,1,1,2,6,8,11,13,14,20,29,54,155
2017-08-01,1,2,2,2,4,8,10,10,11,16,31,55,144
2017-09-01,1,1,1,2,5,5,9,10,11,21,29,51,141
2017-10-01,0,1,2,3,6,9,11,13,13,19,28,46,129
2017-11-01,1,2,2,3,6,9,10,13,14,17,24,51,122
2017-12-01,1,1,2,4,7,9,13,16,16,21,28,60,135
2018-01-01,1,2,3,5,7,8,9,12,15,19,26,46,109
2018-02-01,1,2,3,4,5,7,9,11,13,18,30,47,100
2018-03-01,1,2,3,4,8,10,12,13,14,20,33,46,99
2018-04-01,1,2,3,5,9,11,12,14,15,23,36,51,97
Quarter from 2014-04,1,1,1,2,4,6,7,9,9,18,18,18,18
Quarter from 2014-07,1,1,2,2,2,2,2,2,5,11,26,46,46
Quarter from 2014-10,1,1,1,1,2,2,4,5,6,12,31,58,68
Quarter from 2015-01,1,1,1,1,2,3,3,4,4,6,27,58,81
Quarter from 2015-04,1,1,1,1,1,2,4,5,5,6,24,54,117
Quarter from 2015-07,1,1,1,1,1,1,3,4,4,9,21,65,147
Quarter from 2015-10,1,1,1,1,1,3,3,4,4,9,21,49,146
Quarter from 2016-01,1,1,1,1,3,4,4,5,5,7,23,58,132
Quarter from 2016-04,1,2,2,2,4,4,5,6,7,7,21,54,145
Quarter from 2016-07,1,2,2,2,3,3,3,4,5,7,16,41,116
Quarter from 2016-10,1,2,3,4,5,5,5,7,8,10,17,41,138
Quarter from 2017-01,1,2,3,3,5,7,7,9,9,14,25,48,159
Quarter from 2017-04,1,2,2,2,5,6,7,10,11,15,29,52,160
Quarter from 2017-07,1,1,2,2,4,7,9,11,12,18,31,49,153
Quarter from 2017-10,1,1,1,3,7,10,13,13,14,18,27,45,133
Quarter from 2018-01,1,2,3,4,6,9,11,14,15,19,32,43,110
Quarter from 2018-04,1,2,3,5,9,11,12,14,15,23,37,52,95
