Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
12/2015,12/1/2015,1/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/2016,1/1/2016,2/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2016,3/1/2016,4/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2016,4/1/2016,5/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2016,5/1/2016,6/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2016,6/1/2016,7/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2016,7/1/2016,8/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2016,8/1/2016,9/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2016,9/1/2016,10/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/2016,10/1/2016,11/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2016,11/1/2016,12/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2016,12/1/2016,1/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01/2017,1/1/2017,2/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2017,2/1/2017,3/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2017,3/1/2017,4/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2017,4/1/2017,5/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
05/2017,5/1/2017,6/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2017,6/1/2017,7/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07/2017,7/1/2017,8/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08/2017,8/1/2017,9/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09/2017,9/1/2017,10/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/2017,10/1/2017,11/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/2017,11/1/2017,12/1/2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/2017,12/1/2017,1/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01/2018,1/1/2018,2/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2018,2/1/2018,3/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2018,3/1/2018,4/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2018,4/1/2018,5/1/2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
